

============2021-01-23 11:06:00===========

Connecting to host 10.10.0.23, port 25004
Reverse mode, remote host 10.10.0.23 is sending
[  5] local 172.16.62.237 port 59196 connected to 10.10.0.23 port 25004
[ ID] Interval           Transfer     Bandwidth
[  5]   0.00-0.10   sec   965 KBytes  79.0 Mbits/sec                  
[  5]   0.10-0.20   sec   356 KBytes  29.2 Mbits/sec                  
[  5]   0.20-0.30   sec   181 KBytes  14.8 Mbits/sec                  
[  5]   0.30-0.40   sec   190 KBytes  15.6 Mbits/sec                  
[  5]   0.40-0.50   sec   553 KBytes  45.3 Mbits/sec                  
[  5]   0.50-0.60   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   0.60-0.70   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   0.70-0.80   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   0.80-0.90   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   0.90-1.00   sec   181 KBytes  14.9 Mbits/sec                  
[  5]   1.00-1.10   sec   413 KBytes  33.8 Mbits/sec                  
[  5]   1.10-1.20   sec   302 KBytes  24.7 Mbits/sec                  
[  5]   1.20-1.30   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   1.30-1.40   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   1.40-1.50   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   1.50-1.60   sec   327 KBytes  26.8 Mbits/sec                  
[  5]   1.60-1.70   sec   247 KBytes  20.3 Mbits/sec                  
[  5]   1.70-1.80   sec   282 KBytes  23.1 Mbits/sec                  
[  5]   1.80-1.90   sec   423 KBytes  34.7 Mbits/sec                  
[  5]   1.90-2.00   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   2.00-2.10   sec   316 KBytes  25.9 Mbits/sec                  
[  5]   2.10-2.20   sec   228 KBytes  18.7 Mbits/sec                  
[  5]   2.20-2.30   sec   479 KBytes  39.3 Mbits/sec                  
[  5]   2.30-2.40   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   2.40-2.50   sec   198 KBytes  16.2 Mbits/sec                  
[  5]   2.50-2.60   sec   442 KBytes  36.2 Mbits/sec                  
[  5]   2.60-2.70   sec   234 KBytes  19.2 Mbits/sec                  
[  5]   2.70-2.80   sec   278 KBytes  22.7 Mbits/sec                  
[  5]   2.80-2.90   sec   199 KBytes  16.3 Mbits/sec                  
[  5]   2.90-3.00   sec   320 KBytes  26.2 Mbits/sec                  
[  5]   3.00-3.10   sec   440 KBytes  36.0 Mbits/sec                  
[  5]   3.10-3.20   sec   167 KBytes  13.7 Mbits/sec                  
[  5]   3.20-3.30   sec   323 KBytes  26.4 Mbits/sec                  
[  5]   3.30-3.40   sec   365 KBytes  29.9 Mbits/sec                  
[  5]   3.40-3.50   sec   362 KBytes  29.6 Mbits/sec                  
[  5]   3.50-3.60   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   3.60-3.70   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   3.70-3.80   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   3.80-3.90   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   3.90-4.00   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   4.00-4.10   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   4.10-4.20   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   4.20-4.30   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   4.30-4.40   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   4.40-4.50   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   4.50-4.60   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   4.60-4.70   sec   319 KBytes  26.2 Mbits/sec                  
[  5]   4.70-4.80   sec   321 KBytes  26.3 Mbits/sec                  
[  5]   4.80-4.90   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   4.90-5.00   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   5.00-5.10   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   5.10-5.20   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   5.20-5.30   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   5.30-5.40   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   5.40-5.50   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   5.50-5.60   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   5.60-5.70   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   5.70-5.80   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   5.80-5.90   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   5.90-6.00   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   6.00-6.10   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   6.10-6.20   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   6.20-6.30   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   6.30-6.40   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   6.40-6.50   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   6.50-6.60   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   6.60-6.70   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   6.70-6.80   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   6.80-6.90   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   6.90-7.00   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   7.00-7.10   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   7.10-7.20   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   7.20-7.30   sec   384 KBytes  31.4 Mbits/sec                  
[  5]   7.30-7.40   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   7.40-7.50   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   7.50-7.60   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   7.60-7.70   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   7.70-7.80   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   7.80-7.90   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   7.90-8.00   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   8.00-8.10   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   8.10-8.20   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   8.20-8.30   sec   384 KBytes  31.4 Mbits/sec                  
[  5]   8.30-8.40   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   8.40-8.50   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   8.50-8.60   sec   384 KBytes  31.4 Mbits/sec                  
[  5]   8.60-8.70   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   8.70-8.80   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   8.80-8.90   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   8.90-9.00   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   9.00-9.10   sec   384 KBytes  31.5 Mbits/sec                  
[  5]   9.10-9.20   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   9.20-9.30   sec   256 KBytes  21.0 Mbits/sec                  
[  5]   9.30-9.40   sec   384 KBytes  31.5 Mbits/sec                  
